Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Nolan Painting,http://www.nolanpainting.com,,,Havertown,Pennsylvania,,,,,,apollo,"painting company, painting services - Pennsylvania",https://app.apollo.io/#/organizations/54a1b02574686958600c5508?overrideScoreId=score,13.4M,84,,http://www.linkedin.com/company/nolan-painting,https://www.facebook.com/NolanPaintingContractor,https://twitter.com/nolan_painting,,,
"Ascher Brothers Co., Inc.",http://www.ascherbrothers.com,,,Chicago,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/61ec33991e83ed0001ec33ef?overrideScoreId=score,31.8M,80,,http://www.linkedin.com/company/ascherbrothers,https://facebook.com/AscherBrothersCoInc,,,,
IOC Construction,http://www.iocconstruction.com,,,Batavia,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/54a135fe69702d46f0c7ea00?overrideScoreId=score,,79,interior+69,http://www.linkedin.com/company/inside-out-company,,,,,
"Arch Painting, Inc.",http://www.archpainting.com,,,Arch Painting,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/accounts/68f0199cc13bac00210d6d46?overrideScoreId=score,9.1M,78,corporateretail+81,http://www.linkedin.com/company/arch-painting-inc-,https://facebook.com/archpainting,https://twitter.com/archpainting,,,
Commercial Painting Inc.,http://www.commercialpainting-inc.com,,,San Jose,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/631598ce2403c500a3c231bb?overrideScoreId=score,,78,exterior painting+43,http://www.linkedin.com/company/commercial-painting-inc,https://www.facebook.com/Commercial-Painting-113912531294661/,,,,
PRESTIGE PAINTING,http://www.prestigepainting1.com,,,Venetia,Pennsylvania,,,,,,apollo,"painting company, painting services - Pennsylvania",https://app.apollo.io/#/organizations/54a1bfab7468694f8fa8cb0d?overrideScoreId=score,,74,interior painting+49,http://www.linkedin.com/company/prestige-painting,,,,,
Johnson Contracting Company,http://www.jccinc.com,,,East Moline,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/54a1a0b674686945fa261b03?overrideScoreId=score,27.4M,74,plumbingheating+63,http://www.linkedin.com/company/johnson-contracting-co--inc,,,,,
International Decorators Inc.,http://www.4idi.com,,,Barrington,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/54a199577468695860099f00?overrideScoreId=score,64.0M,74,,http://www.linkedin.com/company/international-decorators-inc-,https://www.facebook.com/internationaldecorators/,,,,
"FCP Services, Inc - Serving Great Customers Nationwide Since 1990",http://www.fcpservices.com,,,Eagan,Minnesota,,,,,,apollo,"painting company, painting services - Minnesota",https://app.apollo.io/#/organizations/55920f557369641865b84500?overrideScoreId=score,,73,facilities management+77,http://www.linkedin.com/company/fcpservices-inc,https://www.facebook.com/fcpservicespaint,https://twitter.com/fcpservices,,,
JC Painting Co,http://www.jcpaintingusa.com,,,Austin,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/55f9bb3ef3e5bb7c48001dd3?overrideScoreId=score,,72,,http://www.linkedin.com/company/jc-painting-co,,,,,
