Name,Website,Phone,Address,City,State,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue
MPG Painting,http://www.mpgpainting.net,,,Sacramento,California,,,,,apollo,"painting service, painting company - California",https://app.apollo.io/#/organizations/60b1e99bd26791000182aa36?overrideScoreId=score,
The Dependable Painting Company,http://www.dependableptg.com,,,Cleveland,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/54a1353f69702d333d15b900?overrideScoreId=score,23.1M
Five Seasons Painting Company,http://www.whiskeycreekfamilyrvpark.com,,,Elroy,Wisconsin,,,,,apollo,"painting service, painting company - Wisconsin",https://app.apollo.io/#/organizations/6048b05035eb5b0001db120a?overrideScoreId=score,
Pritts Painting Company,http://www.prittspainting.com,,,Westerville,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/6654748d98df0301eb3ab68d?overrideScoreId=score,
Bates Painting Company,http://www.batespainting.com,,,Kansas City,Missouri,,,,,apollo,"painting service, painting company - Missouri",https://app.apollo.io/#/organizations/64ab15e5b961d30001b37c26?overrideScoreId=score,
"Prism Painting Company, Inc.",http://www.prismpainting.net,,,Prism Painting Company,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/5ed02a1a5a2a6100017e72f8?overrideScoreId=score,
"DK Painting Company, Inc.",http://www.dkpainting.com,,,DK Painting Company,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/67d2d0ee06a6ef0021a5232a?overrideScoreId=score,
The Painting Company of Birmingham,http://www.birminghampaintingco.com,,,Birmingham,Alabama,,,,,apollo,"painting service, painting company - Alabama",https://app.apollo.io/#/organizations/5c276bd0f6512556a50f9bae?overrideScoreId=score,4.3M
Rossi Painting & Construction,http://www.rossipainting.com,,,San Carlos,California,,,,,apollo,"painting service, painting company - California",https://app.apollo.io/#/organizations/604a9bd9a8096d0001c3d87a?overrideScoreId=score,
"Lakehead Painting Company, Inc.",http://www.lakeheadpainting.com,,,Lakehead Painting Company,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/54a1293e69702d979ca19501?overrideScoreId=score,
Paint Kings,http://www.paintkings.com,,,Tucson,Arizona,,,,,apollo,"painting service, painting company - Arizona",https://app.apollo.io/#/organizations/54a1b6c07468694f8f0c810a?overrideScoreId=score,18.9M
Art Noirs,http://www.artnoirs.com,,,Sugar Land,Texas,,,,,apollo,"painting service, painting company - Texas",https://app.apollo.io/#/organizations/556d9fa173696411c12c5a01?overrideScoreId=score,
"MacFarland Painting, Inc.",http://www.macfarlandpainting.com,,,MacFarland Painting,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/604a9c8632877500013a26d2?overrideScoreId=score,
"Quincy Industrial Painting Company, Inc.",http://www.quincyindustrial.com,,,Quincy Industrial Painting Company,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/559218d573696423937e0c00?overrideScoreId=score,
"Genesis Painting Company, LLC",http://www.paintingbygenesis.com,,,Cedar Rapids,Iowa,,,,,apollo,"painting service, painting company - Iowa",https://app.apollo.io/#/organizations/5500b1557369642dd3921800?overrideScoreId=score,
Swedish Painting Company,http://www.swedishpaintingco.com,,,Aspen,Colorado,,,,,apollo,"painting service, painting company - Colorado",https://app.apollo.io/#/organizations/556d5023736964121f01e300?overrideScoreId=score,8M
Fresh Coat Painters Franchise Opportunities,http://www.freshcoatfranchise.com,,,Cincinnati,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/5e5643a0840a240001180635?overrideScoreId=score,
VP Peri Painting Company,http://www.vpperi.com,,,Redmond,Washington,,,,,apollo,"painting service, painting company - Washington",https://app.apollo.io/#/organizations/54a13c8a69702de5b328f101?overrideScoreId=score,
"Emerald Painting, Inc.",http://www.emeraldpaintinginc.com,,,Emerald Painting,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/63c34b91ae9ec700013e5fb4?overrideScoreId=score,
Rice Painting Company,http://www.ricepaintingcompany.com,,,Charlotte,North Carolina,,,,,apollo,"painting service, painting company - North Carolina",https://app.apollo.io/#/organizations/615e9513d42fd60001065174?overrideScoreId=score,
World Painting Company,http://www.worldpaintingcompany.com,,,Bloomington,Illinois,,,,,apollo,"painting service, painting company - Illinois",https://app.apollo.io/#/organizations/54a1352169702d42556b7300?overrideScoreId=score,3.7M
Fresh Start Painting Company,,,,Long Branch,New Jersey,,,,,apollo,"painting service, painting company - New Jersey",https://app.apollo.io/#/organizations/65505085c27fa30001ebb34d?overrideScoreId=score,
Cauble Rose Painting Company,http://www.caublerose.com,,,Boerne,Texas,,,,,apollo,"painting service, painting company - Texas",https://app.apollo.io/#/organizations/60aed6ccd4a81f0001ae5326?overrideScoreId=score,
Idea Painting Company,http://www.ideapaintingcompany.com,,,Medfield,Massachusetts,,,,,apollo,"painting service, painting company - Massachusetts",https://app.apollo.io/#/organizations/5e55b2c5e31ebf0001c2cae0?overrideScoreId=score,
Bernardo's Painting,http://www.bernardospainting.com,,,Mililani,Hawaii,,,,,apollo,"painting service, painting company - Hawaii",https://app.apollo.io/#/organizations/62a5fb4a4757e800a3fe007c?overrideScoreId=score,
Haugen Homes Painting,http://www.hhpainters.com,,,Sheboygan,Wisconsin,,,,,apollo,"painting service, painting company - Wisconsin",https://app.apollo.io/#/organizations/60b28784f6c9fa0001354e58?overrideScoreId=score,
"Carolina Painting Company, Inc.",http://www.carolinapainting.com,,,Carolina Painting Company,Inc.,,,,,apollo,"painting service, painting company - Inc.",https://app.apollo.io/#/organizations/5f48b6a18dedc90001db0449?overrideScoreId=score,7.2M
Sharper Impressions Painting,http://www.sharperimpressionspainting.com,,,Plain City,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/54a1293c69702db878615201?overrideScoreId=score,4M
NorthCraft Painting Contractor,http://www.northcraft-painting-contractor.com,,,Streamwood,Illinois,,,,,apollo,"painting service, painting company - Illinois",https://app.apollo.io/#/organizations/54a12ab669702dc128ebf801?overrideScoreId=score,
Messery Painting,http://www.messerypaintingswfl.com,,,Fort Myers,Florida,,,,,apollo,"painting service, painting company - Florida",https://app.apollo.io/#/organizations/5500c55f736964176d614f00?overrideScoreId=score,
