Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Great Falls Painting Company,http://www.greatfallspaintingcompany.com,,,Great Falls,Montana,,,,,,apollo,"painting company, painting service - Montana",https://app.apollo.io/#/organizations/667be2af56655c00010b8b09?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/great-falls-painting-company,https://www.facebook.com/Great-Falls-Painting-Company-105218548586819,,,,
Majestic Painting Company Inc.,http://www.majesticpainting.net,,,Aurora,Colorado,,,,,,apollo,"painting company, painting service - Colorado",https://app.apollo.io/#/organizations/5da27da4a2de8e0001a7038c?overrideScoreId=score,,,custom color schemes+45,http://www.linkedin.com/company/majestic-painting-company-inc,https://www.facebook.com/majesticpaintingcompany,,,,
G & I Painting and Renovations LLC,http://www.gandipainting.com,,,Sterling Heights,Michigan,,,,,,apollo,"painting company, painting service - Michigan",https://app.apollo.io/#/organizations/61ec91be0154d10001111c69?overrideScoreId=score,,,reliable service+60,http://www.linkedin.com/company/g-i-painting-and-renovations-llc,https://facebook.com/GI-Painting-and-Renovations-LLC-110192877430265,,,,
MacKenzie Painting Company,http://www.mackenziepaintingco.com,,,Stratford,Connecticut,,,,,,apollo,"painting company, painting service - Connecticut",https://app.apollo.io/#/organizations/5fca04f7be1c6100014ef215?overrideScoreId=score,,,painting+19,http://www.linkedin.com/company/mackenziepaintingco,,,,,
Alpine Painting,http://www.alpinepaintingcompany.com,,,Ann Arbor,Michigan,,,,,,apollo,"painting company, painting service - Michigan",https://app.apollo.io/#/organizations/655abd1c99780d00019ae17c?overrideScoreId=score,,,house painting+27,http://www.linkedin.com/company/alpine-painting,https://www.facebook.com/alpinepaintingllc,,,,
Nashville Painting Company,http://www.nashvillepaintingcompany.com,,,Crossville,Tennessee,,,,,,apollo,"painting company, painting service - Tennessee",https://app.apollo.io/#/organizations/5fc8d824d510e800017c9d29?overrideScoreId=score,,,residential painting+41,http://www.linkedin.com/company/nashville-painting-company,https://www.facebook.com/Nashvillepaintingcompany/,,,,
Midway Painting Company,http://www.midwaypaintingcompany.com,,,Midway,Utah,,,,,,apollo,"painting company, painting service - Utah",https://app.apollo.io/#/organizations/6437c6510822f100a300cf04?overrideScoreId=score,,,roman clay+49,http://www.linkedin.com/company/midway-painting-company,https://facebook.com/midwaypaintingcompany,,,,
"J & J Custom Painting Company, LLC - Las Vegas, NV",http://www.j-jcustompainting.com,,,Las Vegas,Nevada,,,,,,apollo,"painting company, painting service - Nevada",https://app.apollo.io/#/organizations/656bef002a857200a3f4ca3a?overrideScoreId=score,,,interior painting+41,http://www.linkedin.com/company/j-j-custom-painting-company-llc-las-vegas-nv,,,,,
"Mid South Painting, Inc.",http://www.midsouthpaintinginc.com,,,Mid South Painting,Inc.,,,,,,apollo,"painting company, painting service - Inc.",https://app.apollo.io/#/organizations/61ec11b554407500016c794f?overrideScoreId=score,,,commercial painting+52,http://www.linkedin.com/company/midsouthpainting,,,,,
Tri Cities Painting Company,http://www.eastgateorthodontics.com,,,Kennewick,Washington,,,,,,apollo,"painting company, painting service - Washington",https://app.apollo.io/#/organizations/6375ed9b997fce000197037e?overrideScoreId=score,328K,,painting company,http://www.linkedin.com/company/tri-cities-painting-company,https://facebook.com/pages/Boracay-SandCastles-The-Apartments/231220783626177,https://twitter.com/sandcastlesapts,,,
