Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Pro Painters,http://www.mypropainters.com,,,Houston,Texas,,,,,,apollo,"Painting services, painting company - Texas",https://app.apollo.io/#/organizations/55ed8641f3e5bb227b0016f5?overrideScoreId=score,,,interior painting+62,http://www.linkedin.com/company/pro-painters,https://www.facebook.com/mypropainters,,,,
Superior Contracting & Maintenance,http://www.superior-maintenance.com,,,Marietta,Georgia,,,,,,apollo,"Painting services, painting company - Georgia",https://app.apollo.io/#/organizations/5da3c1da3e9e680001c76474?overrideScoreId=score,,,plumbingelectrical+83,http://www.linkedin.com/company/superior-contracting-maintenance,,,,,
Precision Painting Plus,http://www.precisionpaintingplus.net,,,Westbury,New York,,,,,,apollo,"Painting services, painting company - New York",https://app.apollo.io/#/organizations/559215e473696418f65a5c00?overrideScoreId=score,12.3M,,painting interior+75,http://www.linkedin.com/company/precision-painting-plus,https://facebook.com/precisionpaintingplus/,https://twitter.com/precisionpp,,,
Nolan Painting,http://www.nolanpainting.com,,,Havertown,Pennsylvania,,,,,,apollo,"Painting services, painting company - Pennsylvania",https://app.apollo.io/#/organizations/54a1b02574686958600c5508?overrideScoreId=score,13.4M,,,http://www.linkedin.com/company/nolan-painting,https://www.facebook.com/NolanPaintingContractor,https://twitter.com/nolan_painting,,,
"Ascher Brothers Co., Inc.",http://www.ascherbrothers.com,,,Chicago,Illinois,,,,,,apollo,"Painting services, painting company - Illinois",https://app.apollo.io/#/organizations/61ec33991e83ed0001ec33ef?overrideScoreId=score,31.8M,,,http://www.linkedin.com/company/ascherbrothers,https://facebook.com/AscherBrothersCoInc,,,,
Whitecap Construction Services,http://www.whitecapconstructionservices.com,,,Manassas,Virginia,,,,,,apollo,"Painting services, painting company - Virginia",https://app.apollo.io/#/organizations/61eb8515ab01540001e837df?overrideScoreId=score,,,remodelswindows+93,http://www.linkedin.com/company/whitecap-construction-services,https://www.facebook.com/WhitecapConstructionServices/,,,,
IOC Construction,http://www.iocconstruction.com,,,Batavia,Illinois,,,,,,apollo,"Painting services, painting company - Illinois",https://app.apollo.io/#/organizations/54a135fe69702d46f0c7ea00?overrideScoreId=score,,,interior+69,http://www.linkedin.com/company/inside-out-company,,,,,
"Arch Painting, Inc.",http://www.archpainting.com,,,Arch Painting,Inc.,,,,,,apollo,"Painting services, painting company - Inc.",https://app.apollo.io/#/accounts/68f0199cc13bac00210d6d46?overrideScoreId=score,9.1M,,corporateretail+81,http://www.linkedin.com/company/arch-painting-inc-,https://facebook.com/archpainting,https://twitter.com/archpainting,,,
PRESTIGE PAINTING,http://www.prestigepainting1.com,,,Venetia,Pennsylvania,,,,,,apollo,"Painting services, painting company - Pennsylvania",https://app.apollo.io/#/organizations/54a1bfab7468694f8fa8cb0d?overrideScoreId=score,,,interior painting+49,http://www.linkedin.com/company/prestige-painting,,,,,
Johnson Contracting Company,http://www.jccinc.com,,,East Moline,Illinois,,,,,,apollo,"Painting services, painting company - Illinois",https://app.apollo.io/#/organizations/54a1a0b674686945fa261b03?overrideScoreId=score,27.4M,,plumbingheating+63,http://www.linkedin.com/company/johnson-contracting-co--inc,,,,,
International Decorators Inc.,http://www.4idi.com,,,Barrington,Illinois,,,,,,apollo,"Painting services, painting company - Illinois",https://app.apollo.io/#/organizations/54a199577468695860099f00?overrideScoreId=score,64.0M,,,http://www.linkedin.com/company/international-decorators-inc-,https://www.facebook.com/internationaldecorators/,,,,
JC Painting Co,http://www.jcpaintingusa.com,,,Austin,Texas,,,,,,apollo,"Painting services, painting company - Texas",https://app.apollo.io/#/organizations/55f9bb3ef3e5bb7c48001dd3?overrideScoreId=score,,,,http://www.linkedin.com/company/jc-painting-co,,,,,
"Jamestown Painting, Inc",http://www.jamestownpainting.com,,,Jamestown Painting,Inc,,,,,,apollo,"Painting services, painting company - Inc",https://app.apollo.io/#/organizations/5ed4b0ede82ab60001a50ed9?overrideScoreId=score,32.8M,,joint expansions+76,http://www.linkedin.com/company/jamestown-painting,https://facebook.com/jamestownpaintinginc,https://twitter.com/jamestownpaint,,,
VPI,http://www.vpi.net,,,Sacramento,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/5e297c6d9577ad00e05e9c9c?overrideScoreId=score,,,project management+50,http://www.linkedin.com/company/vpipro,https://www.facebook.com/VPIpro/,,,,
General Coatings Corporation,http://www.gencoat.com,,,San Diego,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/673e4e5271ff6a01b0b0f13d?overrideScoreId=score,6.5M,,waterproof coatings+47,http://www.linkedin.com/company/general-coatings-corporation,https://facebook.com/GenCoat,https://twitter.com/gencoat,,,
My Handyman,http://www.myhandymancolumbus.com,,,Westerville,Ohio,,,,,,apollo,"Painting services, painting company - Ohio",https://app.apollo.io/#/organizations/55f1c537f3e5bb15d6003ae2?overrideScoreId=score,,,exterior repairs+81,http://www.linkedin.com/company/my-handyman-columbus,https://www.facebook.com/HandymanColumbus,https://twitter.com/MyHandyman_Cbus,,,
American Exteriors,http://www.americanexteriors.com,,,Lorton,Virginia,,,,,,apollo,"Painting services, painting company - Virginia",https://app.apollo.io/#/organizations/5592139d7369641865a05400?overrideScoreId=score,,,timely completion+88,http://www.linkedin.com/company/american-exteriors,,,,,
Williams Professional Painting,http://www.williamsprofessionalpainting.com,,,Alexandria,Virginia,,,,,,apollo,"Painting services, painting company - Virginia",https://app.apollo.io/#/organizations/54a1b7047468695c822f320a?overrideScoreId=score,30.1M,,,http://www.linkedin.com/company/williams-professional-painting,https://www.facebook.com/williamsprofessionalpainting/,https://twitter.com/WilliamsPaint,,,
Painting Plus,http://www.paintingplus.com,,,Marietta,Georgia,,,,,,apollo,"Painting services, painting company - Georgia",https://app.apollo.io/#/organizations/54a127d369702db878558b00?overrideScoreId=score,5.1M,,siding contractor+98,http://www.linkedin.com/company/paintingplus,https://www.facebook.com/PaintingPlusGa/,,,,
SpecSys Inc.,http://www.specsys.com,,,Montevideo,Minnesota,,,,,,apollo,"Painting services, painting company - Minnesota",https://app.apollo.io/#/organizations/5c2539a1f65125e24633ca2e?overrideScoreId=score,,,contract manufacturing+61,http://www.linkedin.com/company/specsys-inc,https://www.facebook.com/specsys/,https://twitter.com/specsys_inc,,,
New Life Painting,http://www.new-life-painting.com,,,San Marcos,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/54a13c9069702d231f533702?overrideScoreId=score,,,stucco repair+47,http://www.linkedin.com/company/new-life-painting,https://www.facebook.com/NewLifePaint/,https://twitter.com/newlifepainting,,,
