Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
AG Williams Painting Company,http://www.agwilliamspainting.com,,,,,,,,,,apollo,"painting company, painting services",https://app.apollo.io/#/organizations/54a26f6a74686930c279b422?overrideScoreId=score,,33,interior painting+52,http://www.linkedin.com/company/ag-williams-painting-company,https://facebook.com/agwilliamspainting,,,,
RAL Construction,http://www.ral-construction.com,,,Ardmore,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/5569cc0e7369642541189700?overrideScoreId=score,,26,home improvement+46,http://www.linkedin.com/company/ral-construction,,,,,
"Sundeleaf Painting, Inc.",http://www.sundeleafpainting.com,,,Sundeleaf Painting,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/54a1349069702d48e2621d00?overrideScoreId=score,,17,pressure washing+52,http://www.linkedin.com/company/sundeleaf-painting-inc-,https://facebook.com/pages/Sundeleaf-Painting/110848662270932,,,,
Jmy Construction Inc,http://www.jmyconstruction.com,,,Harvest,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/55920b73736964185f413700?overrideScoreId=score,,12,electrical work+34,http://www.linkedin.com/company/jmy-construction-inc,,,,,
"Teague Construction Systems, Inc. - TCSI",http://www.teaguecsi.com,,,Teague Construction Systems,Inc. - TCSI,,,,,,apollo,"painting company, painting services - Inc. - TCSI",https://app.apollo.io/#/organizations/6138582d54ec1e00a4ae117f?overrideScoreId=score,,11,modified roofing+63,http://www.linkedin.com/company/teaguecsi,,,,,
"Stanley Smith Drywall, Inc.",http://www.stanleysmithdrywall.com,,,Stanley Smith Drywall,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/5ed93744bc12b60001f28408?overrideScoreId=score,,11,construction+49,http://www.linkedin.com/company/stanley-smith-drywall-inc.,,,,,
Home Repair Service,http://www.hrsbham.com,,,Pelham,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/663332c1dc445707f5f4d9fb?overrideScoreId=score,,10,basement finishing+66,http://www.linkedin.com/company/hrsbham,https://www.facebook.com/hrsbham/,,,,
Martin Painting Services,,,,Dothan,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/55923f6a736964191240f300?overrideScoreId=score,,7,,http://www.linkedin.com/company/martin-painting-services,,,,,
Chavez Painting Services,http://www.chavezpaintingrva.com,,,Huntsville,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/5592065f736964191e632500?overrideScoreId=score,,5,,http://www.linkedin.com/company/chavez-painting-services,,,,,
Select Drywall Systems Inc.,http://www.selectdrywallsystem.com,,,Helena,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/641920798dbcf60001e24186?overrideScoreId=score,,4,acoustical contractor+62,http://www.linkedin.com/company/select-drywalll-systems-inc,,,,,
Fox Painting Services,http://www.foxpaintingservices.com,,,Birmingham,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/5a9cb7d9a6da98d9852829fe?overrideScoreId=score,,3,commercialexterior+2,http://www.linkedin.com/company/fox-painting-services,,,,,
Tidal Touch,http://www.tidaltouchpaint.com,,,Daphne,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/683ad516b0aa290001a445d1?overrideScoreId=score,,2,deck staining+61,http://www.linkedin.com/company/tidal-touch-painting,,,,,
RPS | Riley Painting Services,,,,Huntsville,Alabama,,,,,,apollo,"painting company, painting services - Alabama",https://app.apollo.io/#/organizations/67162881a616240001456238?overrideScoreId=score,,2,,http://www.linkedin.com/company/riley-painting-services,,,,,
Alaska Painting Services,http://www.alaskapaintingonline.com,,,Anchorage,Alaska,,,,,,apollo,"painting company, painting services - Alaska",https://app.apollo.io/#/organizations/57c4f10fa6da986a87fbf581?overrideScoreId=score,,5,home servicespainters,http://www.linkedin.com/company/alaska-painting-services,https://www.facebook.com/miamipaintingcontractors,https://twitter.com/alaskapainting,,,
MKD's Property Solutions and Installations,http://www.mkdspropertysolutions.com,,,Anchorage,Alaska,,,,,,apollo,"painting company, painting services - Alaska",https://app.apollo.io/#/organizations/642074e8abdc0200015ddd85?overrideScoreId=score,,4,deck repair+35,http://www.linkedin.com/company/mkd-s-property-solutions-llc,,,,,
Patronas Home Repair LLC,http://www.patronashomerepair.com,,,Anchorage,Alaska,,,,,,apollo,"painting company, painting services - Alaska",https://app.apollo.io/#/organizations/6100ed658b43e2000183b555?overrideScoreId=score,,2,home maintenance+50,http://www.linkedin.com/company/patronas-home-repair,,,,,
